,Position,Rank,Game,Date,Age,Team,Location,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tyrese Maxey,SG,21,,11/28/2022,22-024,PHI,,ATL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,22,,11/30/2022,22-026,PHI,@,CLE,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,23,,12/2/2022,22-028,PHI,@,MEM,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,24,,12/5/2022,22-031,PHI,@,HOU,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,25,,12/9/2022,22-035,PHI,,LAL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,26,,12/11/2022,22-037,PHI,,CHO,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,27,,12/13/2022,22-039,PHI,,SAC,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,28,,12/16/2022,22-042,PHI,,GSW,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,29,,12/19/2022,22-045,PHI,,TOR,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,30,,12/21/2022,22-047,PHI,,DET,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,31,,12/23/2022,22-049,PHI,,LAC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,32,,12/25/2022,22-051,PHI,@,NYK,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,33,,12/27/2022,22-053,PHI,@,WAS,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,34,16,12/30/2022,22-056,PHI,@,NOP,L (-11),0,18:42,4,10,0.4,1,3,0.333,0,0,,0,1,1,1,0,0,1,1,9,3.2,-18
Tyrese Maxey,SG,35,,12/31/2022,22-057,PHI,@,OKC,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,36,17,1/2/2023,22-059,PHI,,NOP,W (+9),0,26:43:00,5,14,0.357,1,5,0.2,1,2,0.5,0,1,1,2,0,0,3,2,12,1.7,2
Tyrese Maxey,SG,37,18,1/4/2023,22-061,PHI,,IND,W (+3),1,36:36:00,6,16,0.375,1,4,0.25,4,4,1,1,4,5,6,1,0,0,3,17,14.1,5
Tyrese Maxey,SG,38,19,1/6/2023,22-063,PHI,,CHI,L (-14),1,36:34:00,8,15,0.533,5,7,0.714,5,6,0.833,0,3,3,6,1,0,1,1,26,23,1
Tyrese Maxey,SG,39,20,1/8/2023,22-065,PHI,@,DET,W (+12),1,33:09:00,8,18,0.444,2,9,0.222,5,6,0.833,0,0,0,2,1,0,1,1,23,14.2,19
Tyrese Maxey,SG,40,21,1/10/2023,22-067,PHI,,DET,W (+31),1,23:15,6,11,0.545,1,4,0.25,3,3,1,0,1,1,2,1,0,1,3,16,11.2,31
Tyrese Maxey,SG,41,22,1/12/2023,22-069,PHI,,OKC,L (-19),1,33:07:00,6,13,0.462,0,4,0,5,5,1,1,1,2,6,2,0,3,4,17,12.9,-4
Tyrese Maxey,SG,42,23,1/14/2023,22-071,PHI,@,UTA,W (+1),1,38:08:00,7,20,0.35,5,11,0.455,2,2,1,1,2,3,1,0,0,1,2,21,10,6
Tyrese Maxey,SG,43,24,1/15/2023,22-072,PHI,@,LAL,W (+1),0,32:37:00,6,13,0.462,1,5,0.2,3,4,0.75,1,4,5,1,0,0,1,1,16,10.1,2
Tyrese Maxey,SG,44,25,1/17/2023,22-074,PHI,@,LAC,W (+10),0,27:47:00,7,12,0.583,3,5,0.6,5,5,1,0,2,2,2,1,0,1,2,22,17.6,23
Tyrese Maxey,SG,45,26,1/19/2023,22-076,PHI,@,POR,W (+10),0,28:34:00,7,12,0.583,1,4,0.25,0,0,,0,2,2,2,1,0,0,0,15,12.4,-4
Tyrese Maxey,SG,46,27,1/21/2023,22-078,PHI,@,SAC,W (+2),1,41:17:00,12,29,0.414,2,8,0.25,6,6,1,0,3,3,6,0,0,2,2,32,18.8,-4
Tyrese Maxey,SG,47,28,1/25/2023,22-082,PHI,,BRK,W (+4),0,30:10:00,8,14,0.571,6,9,0.667,5,5,1,0,3,3,5,2,0,0,1,27,26.4,-6
Tyrese Maxey,SG,48,29,1/28/2023,22-085,PHI,,DEN,W (+7),0,30:31:00,4,11,0.364,2,5,0.4,3,6,0.5,0,3,3,6,0,0,2,1,13,8.4,14
Tyrese Maxey,SG,49,30,1/30/2023,22-087,PHI,,ORL,L (-10),0,27:44:00,4,9,0.444,0,4,0,0,0,,0,1,1,2,0,0,1,4,8,2.4,-17
Tyrese Maxey,SG,50,31,2/1/2023,22-089,PHI,,ORL,W (+11),0,31:27:00,2,11,0.182,1,5,0.2,5,6,0.833,0,1,1,2,1,0,1,2,10,3.6,9
Tyrese Maxey,SG,51,32,2/3/2023,22-091,PHI,@,SAS,W (+12),0,27:22:00,8,15,0.533,3,4,0.75,6,7,0.857,2,1,3,4,1,1,0,0,25,23.5,5
Tyrese Maxey,SG,52,33,2/5/2023,22-093,PHI,@,NYK,L (-11),0,23:58,4,8,0.5,0,1,0,4,5,0.8,0,1,1,0,0,0,0,3,12,6.7,-23
Tyrese Maxey,SG,53,34,2/8/2023,22-096,PHI,@,BOS,L (-7),0,22:27,3,14,0.214,0,3,0,0,1,0,3,2,5,2,0,0,1,3,6,-1.1,-10
Tyrese Maxey,SG,54,35,2/10/2023,22-098,PHI,,NYK,W (+11),0,32:35:00,9,16,0.563,5,8,0.625,4,5,0.8,0,0,0,2,3,0,1,3,27,21.2,27
Tyrese Maxey,SG,55,36,2/11/2023,22-099,PHI,@,BRK,W (+3),0,33:40:00,4,11,0.364,0,4,0,4,4,1,0,4,4,3,0,0,2,2,12,6.4,17
Tyrese Maxey,SG,56,37,2/13/2023,22-101,PHI,,HOU,W (+19),0,34:45:00,10,16,0.625,4,8,0.5,2,2,1,1,4,5,6,2,0,1,2,26,25.1,28
Tyrese Maxey,SG,57,38,2/15/2023,22-103,PHI,,CLE,W (+6),0,27:46:00,6,12,0.5,2,4,0.5,2,2,1,1,1,2,2,0,0,2,3,16,9.2,-10
Tyrese Maxey,SG,58,39,2/23/2023,22-111,PHI,,MEM,W (+5),0,37:01:00,6,18,0.333,0,6,0,4,4,1,0,2,2,4,0,0,0,2,16,8.4,8
Tyrese Maxey,SG,59,40,2/25/2023,22-113,PHI,,BOS,L (-3),0,25:06:00,4,10,0.4,0,2,0,0,0,,0,2,2,2,1,0,0,2,8,4.8,-11
Tyrese Maxey,SG,60,41,2/27/2023,22-115,PHI,,MIA,L (-2),0,27:27:00,8,16,0.5,4,7,0.571,3,4,0.75,0,1,1,2,0,0,2,6,23,11.9,0
Tyrese Maxey,SG,61,42,3/1/2023,22-117,PHI,@,MIA,W (+23),1,37:30:00,10,17,0.588,4,7,0.571,3,3,1,0,4,4,7,1,0,0,3,27,25,11
Tyrese Maxey,SG,62,43,3/2/2023,22-118,PHI,@,DAL,L (-7),1,34:30:00,12,21,0.571,3,5,0.6,2,2,1,0,2,2,2,1,0,0,2,29,21.3,3
Tyrese Maxey,SG,63,44,3/4/2023,22-120,PHI,@,MIL,W (+3),1,40:40:00,8,12,0.667,2,5,0.4,8,8,1,1,2,3,0,1,0,1,1,26,21.7,-1
Tyrese Maxey,SG,64,45,3/6/2023,22-122,PHI,@,IND,W (+4),1,37:00:00,8,13,0.615,6,9,0.667,2,2,1,0,0,0,2,1,0,0,2,24,19.7,-1
Tobias Harris,SF,1,1,10/18/2022,30-095,PHI,@,BOS,L (-9),1,34:14:00,7,14,0.5,3,6,0.5,1,2,0.5,1,1,2,0,3,0,0,3,18,13.4,-1
Tobias Harris,SF,2,2,10/20/2022,30-097,PHI,,MIL,L (-2),1,33:23:00,4,10,0.4,1,4,0.25,0,0,,1,9,10,2,1,2,1,2,9,9,2
Tobias Harris,SF,3,3,10/22/2022,30-099,PHI,,SAS,L (-9),1,35:40:00,6,11,0.545,3,6,0.5,0,0,,0,4,4,2,0,0,1,2,15,10.5,-6
Tobias Harris,SF,4,4,10/24/2022,30-101,PHI,,IND,W (+14),1,28:33:00,7,14,0.5,4,10,0.4,0,0,,2,6,8,2,1,1,0,3,18,16.1,14
Tobias Harris,SF,5,5,10/26/2022,30-103,PHI,@,TOR,L (-10),1,34:15:00,1,5,0.2,1,3,0.333,0,0,,2,6,8,6,1,0,1,3,3,6.1,0
Tobias Harris,SF,6,6,10/28/2022,30-105,PHI,@,TOR,W (+22),1,28:00:00,5,14,0.357,2,8,0.25,1,1,1,1,4,5,3,2,0,1,2,13,9.4,12
