Name,Position,Date,Team,Location,Opp,Minutes Played,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Al Horford,PF,3/3/2023,BOS,0,BRK,33:41:00,2,4,2,2,0,0,0,5,5,3,0,1,0,6
Al Horford,PF,3/5/2023,BOS,0,NYK,45:44:00,7,15,6,10,0,0,5,9,14,6,1,2,0,20
Alex Caruso,SG,10/19/2022,CHI,1,MIA,29:39:00,2,10,1,6,1,2,2,3,5,4,2,0,4,6
Alex Caruso,SG,10/21/2022,CHI,1,WAS,30:45:00,1,4,0,2,1,2,0,3,3,1,3,1,4,3
Alex Caruso,SG,10/22/2022,CHI,0,CLE,16:36,0,1,0,1,2,2,0,2,2,2,1,1,1,2
Alex Caruso,SG,10/24/2022,CHI,0,BOS,18:21,2,2,1,1,2,2,0,3,3,4,0,2,2,7
Alex Caruso,SG,10/26/2022,CHI,0,IND,23:16,3,4,2,3,0,0,0,2,2,3,3,2,1,8
Alex Caruso,SG,10/28/2022,CHI,1,SAS,23:32,1,5,1,3,0,0,3,0,3,4,1,0,1,3
Alex Caruso,SG,10/29/2022,CHI,0,PHI,35:10:00,2,5,1,2,4,4,0,3,3,6,3,1,1,9
Alex Caruso,SG,11/1/2022,CHI,1,BRK,25:01:00,1,4,1,2,1,2,0,4,4,4,0,0,0,4
Alex Caruso,SG,11/2/2022,CHI,0,CHO,24:11:00,2,3,1,2,1,2,0,0,0,3,1,1,1,6
Alex Caruso,SG,11/4/2022,CHI,1,BOS,22:39,2,3,1,2,0,0,0,1,1,3,0,1,3,5
Alex Caruso,SG,11/6/2022,CHI,1,TOR,32:14:00,1,11,0,6,2,2,3,8,11,11,2,2,2,4
Alex Caruso,SG,11/7/2022,CHI,0,TOR,28:01:00,1,2,1,1,1,2,0,6,6,5,2,2,3,4
Alex Caruso,SG,11/9/2022,CHI,0,NOP,22:50,0,1,0,1,0,0,0,3,3,1,1,0,0,0
Alex Caruso,SG,11/13/2022,CHI,0,DEN,21:14,0,1,0,1,0,0,0,0,0,2,3,1,3,0
Alex Caruso,SG,11/16/2022,CHI,1,NOP,27:16:00,5,7,3,4,0,0,0,2,2,2,0,0,0,13
Alex Caruso,SG,11/18/2022,CHI,0,ORL,22:52,3,5,1,2,0,0,1,0,1,5,0,0,1,7
Alex Caruso,SG,11/21/2022,CHI,0,BOS,28:34:00,4,7,2,4,0,0,0,1,1,4,4,0,0,10
Alex Caruso,SG,11/23/2022,CHI,1,MIL,27:18:00,0,2,0,2,0,0,0,1,1,3,2,0,1,0
Alex Caruso,SG,11/25/2022,CHI,1,OKC,28:11:00,4,5,2,2,2,2,0,2,2,4,1,1,1,12
Alex Caruso,SG,11/28/2022,CHI,1,UTA,26:44:00,1,2,0,1,3,4,0,6,6,2,0,1,1,5
Alex Caruso,SG,11/30/2022,CHI,1,PHO,21:13,4,7,2,4,4,5,0,1,1,2,0,0,0,14
Alex Caruso,SG,12/2/2022,CHI,1,GSW,27:51:00,1,4,0,3,0,0,0,0,0,6,1,0,1,2
Alex Caruso,SG,12/4/2022,CHI,1,SAC,29:42:00,0,4,0,1,0,0,0,3,3,4,3,2,1,0
Alex Caruso,SG,12/7/2022,CHI,0,WAS,32:10:00,2,4,0,1,1,1,0,4,4,9,4,0,1,5
Alex Caruso,SG,12/10/2022,CHI,0,DAL,6:13,0,0,0,0,1,2,0,1,1,1,1,0,0,1
Alex Caruso,SG,12/14/2022,CHI,0,NYK,32:24:00,2,2,0,0,0,0,0,2,2,5,3,0,2,4
Alex Caruso,SG,12/16/2022,CHI,0,NYK,25:08:00,3,7,2,5,1,2,0,3,3,4,1,1,2,9
Alex Caruso,SG,12/18/2022,CHI,1,MIN,25:56:00,2,5,1,3,0,0,2,1,3,2,1,0,2,5
Alex Caruso,SG,12/20/2022,CHI,1,MIA,22:37,2,2,1,1,2,2,1,5,6,3,3,0,2,7
Alex Caruso,SG,12/21/2022,CHI,1,ATL,10:54,2,2,1,1,0,0,0,2,2,0,2,1,0,5
Alex Caruso,SG,12/30/2022,CHI,0,DET,20:21,3,4,2,2,0,0,1,1,2,2,2,1,2,8
Alex Caruso,SG,12/31/2022,CHI,0,CLE,25:10:00,1,3,1,1,1,2,1,3,4,3,2,1,1,4
Alex Caruso,SG,1/2/2023,CHI,1,CLE,22:20,2,7,0,1,0,0,1,1,2,1,1,0,0,4
Alex Caruso,SG,1/4/2023,CHI,0,BRK,2:41,1,1,0,0,0,0,0,0,0,1,0,0,1,2
Alex Caruso,SG,1/9/2023,CHI,1,BOS,19:49,2,5,2,3,0,0,0,2,2,4,0,1,2,6
Alex Caruso,SG,1/11/2023,CHI,1,WAS,27:43:00,3,11,0,2,0,0,2,2,4,2,1,1,1,6
Alex Caruso,SG,1/13/2023,CHI,0,OKC,32:51:00,4,6,2,4,1,2,2,2,4,5,5,1,2,11
Alex Caruso,SG,1/15/2023,CHI,0,GSW,30:54:00,4,10,2,6,2,2,0,9,9,7,2,0,1,12
Alex Caruso,SG,1/19/2023,CHI,1,DET,22:25,1,4,0,1,0,0,1,2,3,3,4,3,0,2
Alex Caruso,SG,1/23/2023,CHI,0,ATL,28:01:00,5,9,2,4,0,0,2,2,4,2,3,1,0,12
Alex Caruso,SG,1/24/2023,CHI,1,IND,28:24:00,0,3,0,1,4,4,2,5,7,1,1,0,2,4
Alex Caruso,SG,1/26/2023,CHI,1,CHO,24:07:00,1,2,0,1,0,0,2,1,3,0,3,0,2,2
Alex Caruso,SG,1/28/2023,CHI,1,ORL,20:48,3,3,0,0,1,2,0,2,2,3,2,0,1,7
Alex Caruso,SG,1/31/2023,CHI,0,LAC,22:45,3,3,2,2,2,2,0,2,2,3,2,2,1,10
Alex Caruso,SG,2/2/2023,CHI,0,CHO,7:05,2,3,1,2,2,2,1,2,3,1,1,0,1,7
Alex Caruso,SG,2/7/2023,CHI,1,MEM,26:24:00,1,5,0,3,0,0,2,4,6,5,1,0,3,2
Alex Caruso,SG,2/9/2023,CHI,1,BRK,29:32:00,1,3,0,2,4,4,0,7,7,2,1,0,1,6
Alex Caruso,SG,2/11/2023,CHI,1,CLE,21:08,0,0,0,0,0,0,0,4,4,1,0,0,1,0
Alex Caruso,SG,2/15/2023,CHI,1,IND,29:49:00,2,5,1,3,0,0,1,1,2,3,3,1,1,5
Alex Caruso,SG,2/24/2023,CHI,0,BRK,19:27,2,3,0,1,0,0,0,2,2,1,0,1,0,4
Alex Caruso,SG,2/26/2023,CHI,0,WAS,25:53:00,2,6,2,6,0,0,1,3,4,3,2,0,0,6
Alex Caruso,SG,2/28/2023,CHI,1,TOR,26:16:00,2,5,1,4,1,1,1,3,4,6,1,1,3,6
Alex Caruso,SG,3/1/2023,CHI,1,DET,20:08,2,5,2,4,2,2,0,1,1,2,0,0,3,8
Alex Caruso,SG,3/3/2023,CHI,0,PHO,19:26,1,4,1,4,2,2,0,5,5,2,0,0,0,5
Alex Caruso,SG,3/5/2023,CHI,0,IND,26:45:00,3,4,0,1,4,4,1,1,2,0,2,0,0,10
Alperen Sengun,C,10/19/2022,HOU,1,ATL,22:05,5,9,1,2,4,4,4,5,9,0,0,0,6,15
Alperen Sengun,C,10/21/2022,HOU,0,MEM,27:00:00,9,13,1,2,4,10,5,7,12,1,1,2,1,23
Alperen Sengun,C,10/22/2022,HOU,1,MIL,22:58,4,9,0,3,1,2,3,6,9,2,1,1,1,9
Alperen Sengun,C,10/28/2022,HOU,1,POR,25:31:00,6,12,1,1,1,1,6,5,11,1,0,3,1,14
Alperen Sengun,C,10/30/2022,HOU,1,PHO,29:11:00,6,10,0,2,4,4,3,6,9,2,1,0,1,16
Alperen Sengun,C,10/31/2022,HOU,1,LAC,29:47:00,4,8,0,0,6,6,2,7,9,3,0,1,2,14
Alperen Sengun,C,11/2/2022,HOU,0,LAC,33:28:00,8,13,0,1,10,11,3,10,13,2,1,0,0,26
